Timestamp,Channel_1,Channel_2,Channel_3,Channel_4
573855.3729407343,-860.3515625,25.87890625,202.1484375,-893.06640625,-192.87109375
573855.3765735576,-565.91796875,-195.80078125,144.53125,-697.265625,-62.98828125
573855.380206381,-828.125,-309.5703125,173.828125,276.85546875,203.125
573855.3838392043,-1000.0,38.57421875,280.2734375,270.01953125,41.50390625
573855.3874720277,-981.4453125,174.8046875,236.81640625,-690.91796875,-366.69921875
573855.391104851,-629.39453125,-249.0234375,40.0390625,-894.04296875,-258.30078125
573855.3947376744,-707.51953125,-439.94140625,160.15625,16.6015625,209.9609375
573855.3983704977,-1000.0,-38.0859375,304.19921875,377.9296875,-63.4765625
573855.4020033211,-1000.0,-18.06640625,205.56640625,-463.37890625,-330.078125
573855.4056361445,-737.79296875,-40.52734375,267.08984375,-1000.0,-113.28125
573855.4092689678,-666.50390625,305.6640625,346.6796875,-332.51953125,89.35546875
573855.4154619015,-999.51171875,355.46875,288.57421875,386.71875,-69.82421875
573855.4192596392,-1000.0,-310.05859375,90.8203125,-213.8671875,-484.375
573855.423057377,-791.9921875,-704.1015625,44.921875,-1000.0,-362.3046875
573855.4268551148,-539.0625,-350.5859375,153.3203125,-627.9296875,-189.453125
573855.4306528525,-890.13671875,-5.859375,250.9765625,212.890625,-69.82421875
573855.4344505903,-1000.0,-242.67578125,141.6015625,-57.6171875,-370.60546875
573855.438248328,-871.58203125,-816.40625,-66.89453125,-932.12890625,-364.2578125
573855.4420460658,-492.67578125,-776.3671875,90.33203125,-886.71875,203.125
573855.4458438036,-733.3984375,156.73828125,365.234375,-48.828125,22.4609375
573855.4496415413,-1000.0,253.90625,258.7890625,51.7578125,-166.50390625
573855.4534392791,-981.4453125,24.90234375,245.1171875,-765.13671875,-97.65625
573855.4572370169,-504.8828125,402.83203125,336.42578125,-1000.0,1.953125
573855.4610347546,-570.80078125,375.48828125,283.69140625,-322.75390625,-226.5625
573855.4648324924,-1000.0,-271.97265625,100.5859375,139.16015625,-352.5390625
573855.4686302302,-1000.0,-729.00390625,-3.90625,-557.6171875,-272.4609375
573855.4724279679,-646.97265625,-220.21484375,171.875,-1000.0,-349.12109375
573855.4762257057,-472.16796875,447.265625,342.28515625,-599.609375,-232.91015625
573855.4800234435,-953.125,161.1328125,212.40234375,140.13671875,90.8203125
